频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率.1,帧率,音频,ffprobe探测时间,实际检测次数,有效检测率,首次出现时间,当前动态评分,当前检测置信度,长 GOP 预判,轮播预判,总采样次数,有效采样次数,动态样本次数,历史动态评分,历史置信度,主 phash,主 phash 出现次数,重复指数,时间跨度覆盖度,phash 集中度,锚点一致率,最大连续重复长度,单天最大连续重复,轮播源评分,轮播源等级,静态源评分,静态源等级,是否夜间停播
永清综合频道,http://60.10.203.69:8000/0.m3u8,,,,,,河北,1920x1080,zbefine.txt,749,200,成功,h264,1920x1080,25.0,有音频,2.522,14,0.9285714285714286,2601162217-hash-merge,6.666666666666665,6,0,0,14,13,13,0.0,13,d777ab0bccc4e0a0,1,0.0714,0.0714,0.2143,0.0,0.0714,1.0,12.5,无轮播特征,20.2,动态源,0
渑池新闻综合,http://live.dxhmt.cn:9081/tv/11221-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,215,200,成功,h264,1920x1080,25.0,有音频,2.718,14,0.21428571428571427,2601162217-hash-merge,6.666666666666665,6,0,0,14,3,3,0.0,3,a4db94f5a434ca1b,1,0.0714,0.0714,0.2143,0.0,0.0714,1.0,12.5,无轮播特征,20.2,动态源,0
兴隆综合频道,https://jwcdnqx.hebyun.com.cn/live/xlzh/1500k/tzwj_video.m3u8,,,,,,河北,1920x1080,zbefine.txt,1000,200,成功,h264,1920x1080,30.0,有音频,4.059,14,0.9285714285714286,2601162217-hash-merge,100.0,6,1,1,14,13,10,23.076923076923066,13,ff030300f8f8f8f8,3,0.2143,0.6429,0.3571,0.2308,0.0714,1.0,31.4011,轻微轮播特征,58.3077,疑似静态源,0
任丘综合,https://jwcdnqx.hebyun.com.cn/live/rqtv1/1500k/tzwj_video.m3u8,,,,,,河北,1920x1080,zbefine.txt,737,200,成功,h264,1920x1080,50.0,有音频,4.061,14,0.9285714285714286,2601162217-hash-merge,100.0,6,1,1,14,13,9,30.769230769230774,13,ff010101075e7efe,4,0.2857,0.9286,0.4286,0.3077,0.0714,1.0,40.0824,轻微轮播特征,61.0769,疑似静态源,0
承德公共生活,https://jwcdnqx.hebyun.com.cn/live/cdsggshtv/1500k/tzwj_video.m3u8,,,,,,河北,960x540,zbefine.txt,344,200,成功,h264,960x540,25.0,有音频,4.32,14,0.9285714285714286,2601162217-hash-merge,26.66666666666667,6,1,0,14,13,13,0.0,13,d0d42f3a160f4af9,1,0.0714,0.0714,0.2143,0.0,0.0714,1.0,12.5,无轮播特征,26.8,疑似动态源,0
青县新闻,https://jwcdnqx.hebyun.com.cn/live/qxtvlive1/1500k/tzwj_video.m3u8,,,,,,河北,1920x1080,zbefine.txt,722,200,成功,h264,1920x1080,30.0,有音频,4.339,14,1.0,2601162217-hash-merge,100.0,6,1,1,14,14,10,28.57142857142857,14,fe0101010afcfefe,4,0.2857,0.9286,0.4286,0.2857,0.0714,1.0,39.6429,轻微轮播特征,60.5714,疑似静态源,0
邓州新闻,http://live.dxhmt.cn:9081/tv/11381-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,215,200,成功,h264,1920x1080,25.0,有音频,3.52,14,0.21428571428571427,2601162217-hash-merge,0.0,6,0,0,14,3,3,0.0,3,ecdb94f9a424ca13,1,0.0714,0.0714,0.2143,0.0,0.0714,1.0,12.5,无轮播特征,18.0,动态源,0
汪清综合,http://stream5.jlntv.cn/wq/sd/live.m3u8,,,,,,吉林,320x240,zbefine.txt,296,200,成功,h264,320x240,25.0,有音频,1.79,14,1.0,2601162217-hash-merge,100.0,6,1,1,14,14,0,100.0,14,ad52ad52ad52ad52,14,1.0,1.0,1.0,1.0,1.0,1.0,100.0,强烈轮播特征,100.0,静态源,0
泸州新闻综合,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel106011/playlist.m3u8,,,,,,四川,1280x720,zbefine.txt,1042,200,成功,h264,1280x720,,有音频,1.529,14,0.9285714285714286,2601162217-hash-merge,100.0,6,1,1,14,13,9,30.769230769230774,13,ede4923a6dc7a80c,4,0.2857,0.9286,0.4286,0.3077,0.0714,1.0,40.0824,轻微轮播特征,61.0769,疑似静态源,0
卫辉综合频道,http://live.dxhmt.cn:9081/tv/10781-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,212,200,成功,h264,1920x1080,25.0,有音频,2.173,14,0.21428571428571427,2601162217-hash-merge,100.0,6,1,1,14,3,1,66.66666666666667,3,ff0303030347fcfc,2,0.1429,0.9286,0.2143,1.0,0.0714,1.0,47.1429,轻微轮播特征,67.3333,疑似静态源,0
哈尔滨新闻综合,http://stream.hrbtv.net/xwzh/sd/live.m3u8,,,,,,黑龙江,640x480,zbefine.txt,651,200,成功,h264,640x480,25.0,有音频,2.053,14,0.8571428571428571,2601162217-hash-merge,26.66666666666667,6,1,0,14,12,12,0.0,12,c1d1e5a4daea3436,1,0.0714,0.0714,0.2143,0.0,0.0714,1.0,12.5,无轮播特征,26.8,疑似动态源,0
泸州公共频道,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel102221/playlist.m3u8,,,,,,四川,1280x720,zbefine.txt,203,200,成功,h264,1280x720,,有音频,1.324,14,1.0,2601162217-hash-merge,40.0,6,1,0,14,14,14,0.0,14,cc96696996969669,14,1.0,1.0,1.0,0.0,1.0,1.0,80.0,强烈轮播特征,57.2,疑似静态源,0
哈尔滨影视,http://stream.hrbtv.net/yspd/sd/live.m3u8,,,,,,黑龙江,640x480,zbefine.txt,493,200,成功,h264,640x480,25.0,有音频,1.68,14,1.0,2601162217-hash-merge,13.33333333333333,6,0,0,14,14,14,0.0,14,cec4573ace30b315,1,0.0714,0.0714,0.2143,0.0,0.0714,1.0,12.5,无轮播特征,22.4,动态源,0
金川乡村频道,http://139.203.180.9:90/live/jcxc.m3u8,,,,,,四川,1024x576,zbefine.txt,727,200,成功,h264,1024x576,25.0,有音频,2.666,14,0.9285714285714286,2601162217-hash-merge,66.66666666666667,6,1,0,14,13,12,7.692307692307693,13,cc5a5f251d498f61,1,0.0714,0.0714,0.2143,0.1538,0.0714,1.0,15.5769,无轮播特征,41.7692,疑似动态源,0
固镇影视频道,http://www.guzhenm.com:7004/hls/hd-live.m3u8,,,,,,安徽,720x576,zbefine.txt,761,200,成功,h264,720x576,25.0,有音频,2.182,14,1.0,2601162217-hash-merge,100.0,6,1,1,14,14,0,100.0,14,8000000000000000,14,1.0,1.0,1.0,1.0,1.0,1.0,100.0,强烈轮播特征,100.0,静态源,0
义马新闻综合,http://live.dxhmt.cn:9081/tv/11281-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,226,200,成功,h264,1920x1080,25.0,有音频,3.212,14,0.21428571428571427,2601162217-hash-merge,100.0,6,1,1,14,3,1,66.66666666666667,3,f8f8f8f8f8010707,2,0.1429,0.6429,0.2143,0.6667,0.0714,1.0,36.1905,轻微轮播特征,67.3333,疑似静态源,0
台前新闻综合,http://live.dxhmt.cn:9081/tv/10927-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,216,200,成功,h264,1920x1080,25.0,有音频,3.187,14,0.2857142857142857,2601162217-hash-merge,40.0,6,0,0,14,4,3,25.0,4,cccc3333cccc3333,3,0.2143,0.9286,0.2857,0.5,0.0714,1.0,40.0,轻微轮播特征,38.95,疑似动态源,0
固镇新闻频道,http://www.guzhenm.com:7001/hls/hd-live.m3u8,,,,,,安徽,1920x1080,zbefine.txt,1740,200,成功,h264,1920x1080,25.0,有音频,3.683,14,0.5,2601162217-hash-merge,100.0,0,0,0,14,7,7,0.0,7,96db6c2c60c52b9b,1,0.0714,0.0714,0.2143,0.0,0.0714,1.0,12.5,无轮播特征,51.0,疑似静态源,0
泸州科教频道,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel103074/playlist.m3u8,,,,,,四川,1280x720,zbefine.txt,202,200,成功,h264,1280x720,,有音频,1.508,14,1.0,2601162217-hash-merge,100.0,6,1,1,14,14,10,28.57142857142857,14,ede4923a6dc7a80c,4,0.2857,0.9286,0.4286,0.2857,0.0714,1.0,39.6429,轻微轮播特征,60.5714,疑似静态源,0
通许综合频道,http://live.dxhmt.cn:9081/tv/10222-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,212,200,成功,h264,1920x1080,25.0,有音频,2.951,14,0.21428571428571427,2601162217-hash-merge,19.999999999999996,6,1,0,14,3,3,0.0,3,813a49e6891d3f6b,1,0.0714,0.0714,0.2143,0.0,0.0714,1.0,12.5,无轮播特征,24.6,动态源,0
哈尔滨生活,http://stream.hrbtv.net/shpd/sd/live.m3u8,,,,,,黑龙江,640x480,zbefine.txt,248,200,成功,h264,640x480,25.0,有音频,1.848,14,0.9285714285714286,2601162217-hash-merge,13.33333333333333,6,0,0,14,13,13,0.0,13,9dfc35321b8160ed,1,0.0714,0.0714,0.2143,0.0769,0.0714,1.0,14.0385,无轮播特征,22.4,动态源,0
汶川新闻综合,http://live.iwcmt.cn:90/live/zhxw.m3u8,,,,,,四川,1280x720,zbefine.txt,909,200,成功,h264,1280x720,25.0,有音频,1.713,14,0.21428571428571427,2601162217-hash-merge,19.999999999999996,6,0,0,14,3,3,0.0,3,cce2321f378d261d,1,0.0714,0.0714,0.2143,0.0,0.0714,1.0,12.5,无轮播特征,24.6,动态源,0
武夷山综合频道,http://fjwysdb.chinashadt.com:2036/live/1.stream/playlist.m3u8,,,,,,福建,720x576,zbefine.txt,1839,200,成功,h264,720x576,25.0,有音频,4.038,14,1.0,2601162217-hash-merge,6.666666666666665,6,0,0,14,14,14,0.0,14,98ace7491e0ee32d,1,0.0714,0.0714,0.2143,0.0,0.0714,1.0,12.5,无轮播特征,20.2,动态源,0
舞钢新闻综合,http://live.dxhmt.cn:9081/tv/10481-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,210,200,成功,h264,1920x1080,25.0,有音频,2.617,14,0.14285714285714285,2601162217-hash-merge,6.666666666666665,6,0,0,14,2,2,0.0,2,e419da65644e791b,1,0.0714,0.0714,0.1429,0.0,0.0714,1.0,11.4286,无轮播特征,20.2,动态源,0
武夷山文旅茶,http://fjwysdb.chinashadt.com:2036/live/3.stream/playlist.m3u8,,,,,,福建,720x576,zbefine.txt,768,200,成功,h264,720x576,25.0,有音频,4.316,14,1.0,2601162217-hash-merge,19.999999999999996,6,1,0,14,14,14,0.0,14,87e2bc7431a74687,1,0.0714,0.0714,0.2143,0.0,0.0714,1.0,12.5,无轮播特征,24.6,动态源,0
万州三峡移民,http://123.146.162.24:8017/c2F0hmi/1000/live.m3u8,,,,,,重庆,720x576,zbefine.txt,217,200,成功,h264,720x576,25.0,有音频,1.399,14,1.0,2601162217-hash-merge,100.0,6,1,1,14,14,0,100.0,14,fe00000000000000,14,1.0,1.0,1.0,1.0,1.0,1.0,100.0,强烈轮播特征,100.0,静态源,0
汾西综合,https://qmmqvzoz.live.sxmty.com/live/hls/f24f8a390c084386a564074c9260100c/be3fdf07606145739ab2c4b80fe0136a.m3u8,,,,,,山西,1920x1080,zbefine.txt,956,200,成功,h264,1920x1080,25.0,有音频,4.778,14,1.0,2601162217-hash-merge,0.0,6,0,0,14,14,14,0.0,14,fc3e13c10ec86576,1,0.0714,0.0714,0.2143,0.0,0.0714,1.0,12.5,无轮播特征,18.0,动态源,0
通化新闻,http://stream2.jlntv.cn/tonghua1/sd/live.m3u8,,,,,,吉林,1280x720,zbefine.txt,572,200,成功,h264,1280x720,25.0,有音频,2.526,14,1.0,2601162217-hash-merge,100.0,6,1,1,14,14,12,14.285714285714292,14,de69969661c1a1cd,4,0.2857,0.9286,0.4286,0.1429,0.0714,1.0,36.7857,轻微轮播特征,57.2857,疑似静态源,0
武进新闻频道,https://live.wjyanghu.com/live/CH1.m3u8,,,,,,江苏,720x576,zbefine.txt,1551,200,成功,h264,720x576,25.0,有音频,4.071,14,1.0,2601162217-hash-merge,100.0,6,1,1,14,14,10,28.57142857142857,14,ede4923a6dc7a80c,4,0.2857,0.9286,0.4286,0.2857,0.0714,1.0,39.6429,轻微轮播特征,60.5714,疑似静态源,0
新乡县电视台,http://live.dxhmt.cn:9081/tv/10721-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,211,200,成功,h264,1920x1080,25.0,有音频,2.241,14,0.14285714285714285,2601162217-hash-merge,100.0,0,0,0,14,2,0,100.0,2,ff010303033efcfc,2,0.1429,0.3571,0.1429,1.0,0.0714,1.0,37.5,轻微轮播特征,75.0,静态源,0
安阳县新闻综合,http://live.dxhmt.cn:9081/tv/10522-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,226,200,成功,h264,1920x1080,25.0,有音频,3.268,14,0.14285714285714285,2601162217-hash-merge,100.0,6,1,1,14,2,0,100.0,2,0000000000000000,2,0.1429,0.6429,0.1429,1.0,0.0714,1.0,41.7857,轻微轮播特征,75.0,静态源,0
汝阳综合频道,http://live.dxhmt.cn:9081/tv/10326-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,227,200,成功,h264,1920x1080,25.0,有音频,3.918,14,0.21428571428571427,2601162217-hash-merge,6.666666666666665,6,0,0,14,3,3,0.0,3,dc52d67c70a4a5a5,1,0.0714,0.0714,0.2143,0.0,0.0714,1.0,12.5,无轮播特征,20.2,动态源,0
平舆综合,http://live.dxhmt.cn:9081/tv/11723-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,1049,200,成功,h264,1920x1080,25.0,有音频,2.896,14,0.21428571428571427,2601162217-hash-merge,100.0,6,1,1,14,3,0,100.0,3,8000000000000000,2,0.1429,0.6429,0.2143,1.0,0.0714,1.0,42.8571,轻微轮播特征,75.0,静态源,0
哈尔滨娱乐,http://stream.hrbtv.net/ylpd/sd/live.m3u8,,,,,,黑龙江,640x480,zbefine.txt,246,200,成功,h264,640x480,25.0,有音频,1.551,14,0.9285714285714286,2601162217-hash-merge,100.0,6,1,1,14,13,0,100.0,13,8080808080802a80,13,0.9286,1.0,0.9286,1.0,0.8571,1.0,94.2857,强烈轮播特征,97.0,静态源,0
方城一套,http://live.dxhmt.cn:9081/tv/11322-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,214,200,成功,h264,1920x1080,25.0,有音频,3.804,14,0.21428571428571427,2601162217-hash-merge,100.0,6,1,1,14,3,0,100.0,3,ac6c1432eb6736cc,3,0.2143,0.9286,0.2143,1.0,0.0714,1.0,48.9286,轻微轮播特征,76.0,静态源,0
灵璧综合频道,http://live.cms.anhuinews.com/video/s10003-lbtv/index.m3u8,,,,,,安徽,640x480,zbefine.txt,628,200,成功,h264,640x480,25.0,有音频,1.951,14,0.7857142857142857,2601162217-hash-merge,100.0,6,1,1,14,11,0,100.0,11,d5b1c90ff621c307,11,0.7857,0.9286,0.7857,1.0,0.4286,1.0,78.9286,强烈轮播特征,89.0,静态源,0
武进生活频道,https://live.wjyanghu.com/live/CH2.m3u8,,,,,,江苏,720x576,zbefine.txt,1194,200,成功,h264,720x576,25.0,有音频,4.996,14,1.0,2601162217-hash-merge,0.0,6,0,0,14,14,14,0.0,14,e2e3159d089d1f87,1,0.0714,0.0714,0.2143,0.0,0.0714,1.0,12.5,无轮播特征,18.0,动态源,0
登封综合频道,http://live.dxhmt.cn:9081/tv/10185-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,1032,200,成功,h264,1920x1080,25.0,有音频,2.814,14,0.21428571428571427,2601162217-hash-merge,46.666666666666664,6,1,0,14,3,3,0.0,3,fe430153017eb0fe,2,0.1429,0.9286,0.2143,0.3333,0.0714,1.0,33.8095,轻微轮播特征,34.4,疑似动态源,0
延津综合频道,http://live.dxhmt.cn:9081/tv/10726-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,214,200,成功,h264,1920x1080,25.0,有音频,3.073,14,0.21428571428571427,2601162217-hash-merge,6.666666666666665,6,0,0,14,3,3,0.0,3,b30e933666c1d98e,1,0.0714,0.0714,0.2143,0.0,0.0714,1.0,12.5,无轮播特征,20.2,动态源,0
凉山新闻综合,http://file.yizu.tv/nmip-media/channellive/channel106606/playlist.m3u8,,,,,,四川,720x404,zbefine.txt,682,403,成功,h264,720x404,25.0,有音频,2.649,14,0.8571428571428571,2601162217-hash-merge,66.66666666666667,6,1,0,14,12,12,0.0,12,a59837324fa65b8c,12,0.8571,1.0,0.8571,0.0,0.4286,1.0,62.8571,明显轮播特征,56.0,疑似静态源,0
确山综合,http://live.dxhmt.cn:9081/tv/11725-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,1034,200,成功,h264,1920x1080,25.0,有音频,3.276,14,0.21428571428571427,2601162217-hash-merge,46.666666666666664,6,1,0,14,3,3,0.0,3,adda94f9e405ca32,1,0.0714,0.0714,0.2143,0.3333,0.0714,1.0,19.1667,无轮播特征,33.4,疑似动态源,0
襄汾综合,http://7sycrzf7.live.sxmty.com/live/hls/da9222d15ce7491d85fe3519e5201df5/af161dfd2a434b22b3b75fdd72fb9038-1.m3u8,,,,,,山西,1920x1080,zbefine.txt,1526,200,成功,h264,1920x1080,25.0,有音频,4.239,14,1.0,2601162217-hash-merge,0.0,6,0,0,14,14,11,21.42857142857143,14,e0f0324f5d8d4d6c,1,0.0714,0.0714,0.2143,0.2143,0.0714,1.0,16.7857,无轮播特征,22.9286,动态源,0
尉氏综合频道,http://live.dxhmt.cn:9081/tv/10223-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,213,200,成功,h264,1920x1080,25.0,有音频,3.692,14,0.21428571428571427,2601162217-hash-merge,6.666666666666665,6,0,0,14,3,3,0.0,3,a4d994f4863dc29b,1,0.0714,0.0714,0.2143,0.0,0.0714,1.0,12.5,无轮播特征,20.2,动态源,0
新沂新闻频道,http://live.xysrmt.cn/xwzh/sd/live.m3u8,,,,,,江苏,1280x720,zbefine.txt,1059,200,成功,h264,1280x720,25.0,有音频,1.461,14,1.0,2601162217-hash-merge,100.0,6,1,1,14,14,0,100.0,14,8080808080820a82,14,1.0,1.0,1.0,1.0,1.0,1.0,100.0,强烈轮播特征,100.0,静态源,0
吉林市新闻综合,http://stream2.jlntv.cn/jilin1/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,260,200,成功,h264,720x576,25.0,有音频,1.842,14,1.0,2601162217-hash-merge,66.66666666666667,6,1,0,14,14,13,7.142857142857139,14,e188fc8113c73f65,2,0.1429,0.3571,0.3571,0.1429,0.0714,1.0,23.5714,无轮播特征,42.6429,疑似动态源,0
舞阳新闻综合,http://live.dxhmt.cn:9081/tv/11121-1.m3u8,,,,,,河南,720x576,zbefine.txt,1054,200,成功,h264,720x576,25.0,有音频,2.188,14,0.14285714285714285,2601162217-hash-merge,100.0,6,1,1,14,2,0,100.0,2,a178d263299ed639,2,0.1429,0.9286,0.1429,1.0,0.0714,1.0,46.0714,轻微轮播特征,75.0,静态源,0
嵩县综合新闻,http://live.dxhmt.cn:9081/tv/10325-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,225,200,成功,h264,1920x1080,25.0,有音频,3.565,14,0.21428571428571427,2601162217-hash-merge,40.0,6,1,0,14,3,2,33.33333333333334,3,94d02d3c6b4d3e4d,2,0.1429,0.3571,0.2143,1.0,0.0714,1.0,38.5714,轻微轮播特征,39.8667,疑似动态源,0
清河经济综艺,https://jwcdnqx.hebyun.com.cn/live/qinghe1/1500k/tzwj_video.m3u8,,,,,,河北,1920x1080,zbefine.txt,707,200,成功,h264,1920x1080,25.0,有音频,3.413,14,1.0,2601162217-hash-merge,100.0,6,1,1,14,14,10,28.57142857142857,14,ff010100f8f8fcfc,3,0.2143,0.9286,0.3571,0.2857,0.0714,1.0,36.7857,轻微轮播特征,59.5714,疑似静态源,0
松潘新闻综合,http://live.spccmc.com:90/live/spxwzh.m3u8,,,,,,四川,1920x1080,zbefine.txt,1604,200,成功,h264,1920x1080,25.0,有音频,1.747,14,1.0,2601162217-hash-merge,19.999999999999996,6,0,0,14,14,14,0.0,14,d6d905227b7a6307,1,0.0714,0.0714,0.2143,0.0,0.0714,1.0,12.5,无轮播特征,24.6,动态源,0
新沂生活频道,http://live.xysrmt.cn/shpd/sd/live.m3u8,,,,,,江苏,1280x720,zbefine.txt,477,200,成功,h264,1280x720,25.0,有音频,1.428,14,1.0,2601162217-hash-merge,100.0,6,1,1,14,14,0,100.0,14,8080808080820a82,14,1.0,1.0,1.0,1.0,1.0,1.0,100.0,强烈轮播特征,100.0,静态源,0
