频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率.1,帧率,音频,ffprobe探测时间,检测次数,动态级别,平均抓帧时间,抓帧失败次数,出现最多次数phash的次数,出现最多次数的phash值
金川新闻综合,http://live.jinchuanrmt.com:90/live/zhxw.m3u8,,,,,,四川,1920x1080,zbefine.txt,840,200,成功,h264,1920x1080,25.0,有音频,4.027,11,190,2.7230477870000036,0,2,9ca04d9de1de16e1
固镇新闻频道,http://www.guzhenm.com:7001/hls/hd-live.m3u8,,,,,,安徽,1920x1080,zbefine.txt,726,200,成功,h264,1920x1080,25.0,有音频,3.859,11,198,8.076958529000024,3,12,
晋城新闻,http://live.jinnews.com.cn/xwzh/sd/live.m3u8,,,,,,山西,1920x1080,zbefine.txt,784,200,成功,h264,1920x1080,25.0,有音频,4.378,11,181,5.480674255666675,0,2,e0c27b8b018bfe69
万州三峡移民,http://123.146.162.24:8017/c2F0hmi/1000/live.m3u8,,,,,,重庆,720x576,zbefine.txt,224,200,成功,h264,720x576,25.0,有音频,1.384,11,0,1.3635010543333312,0,33,fe00000000000000
晋城公共,http://live.jinnews.com.cn/ggpd/sd/live.m3u8,,,,,,山西,1920x1080,zbefine.txt,808,200,成功,h264,1920x1080,25.0,有音频,4.529,11,195,3.2286723416666896,0,2,e0c27b83118bfe69
邯郸科技教育,https://jwcdnqx.hebyun.com.cn/live/hdkj/1500k/tzwj_video.m3u8,,,,,,河北,1920x1080,zbefine.txt,295,200,成功,h264,1920x1080,25.0,有音频,3.031,11,90,3.8540223096667128,0,3,fcec07536b89243c
舞钢新闻综合,http://live.dxhmt.cn:9081/tv/10481-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,203,200,成功,h264,1920x1080,25.0,有音频,5.234,11,198,,3,27,
松潘新闻综合,http://live.spccmc.com:90/live/spxwzh.m3u8,,,,,,四川,1920x1080,zbefine.txt,843,200,成功,h264,1920x1080,25.0,有音频,1.67,11,197,3.0521118696666654,0,2,939d10fa781a7ba1
鄢陵综合频道,http://live.dxhmt.cn:9081/tv/11024-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,203,200,成功,h264,1920x1080,25.0,有音频,5.549,11,198,,3,21,
武进新闻频道,https://live.wjyanghu.com/live/CH1.m3u8,,,,,,江苏,720x576,zbefine.txt,1183,200,成功,h264,720x576,25.0,有音频,3.824,11,143,5.842417146333332,0,3,ff7664991a290c63
扶沟综合频道,http://live.dxhmt.cn:9081/tv/11621-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,207,200,成功,h264,1920x1080,25.0,有音频,9.912,11,191,,3,30,
襄城综合频道,http://live.dxhmt.cn:9081/tv/11025-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,414,200,成功,h264,1920x1080,25.0,有音频,8.547,11,198,13.440087424000012,3,30,
邓州新闻,http://live.dxhmt.cn:9081/tv/11381-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,205,200,成功,h264,1920x1080,25.0,有音频,9.192,11,198,,3,24,
台前新闻综合,http://live.dxhmt.cn:9081/tv/10927-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,204,200,成功,h264,1920x1080,25.0,有音频,7.288,11,177,,3,27,
汶川新闻综合,http://live.iwcmt.cn:90/live/zhxw.m3u8,,,,,,四川,1280x720,zbefine.txt,801,200,成功,h264,1280x720,25.0,有音频,1.6,11,198,1.9193200740000027,0,11,ea9f370cc9a5229c
渑池新闻综合,http://live.dxhmt.cn:9081/tv/11221-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,221,200,成功,h264,1920x1080,25.0,有音频,10.376,10,183,13.486102845500028,3,24,
卫辉综合频道,http://live.dxhmt.cn:9081/tv/10781-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,205,200,成功,h264,1920x1080,25.0,有音频,9.557,11,191,10.732591374499975,3,24,
汝阳综合频道,http://live.dxhmt.cn:9081/tv/10326-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,199,200,成功,h264,1920x1080,25.0,有音频,7.106,11,198,11.872921857000014,3,27,
方城一套,http://live.dxhmt.cn:9081/tv/11322-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,206,200,成功,h264,1920x1080,25.0,有音频,8.218,11,177,10.428101672249994,1,21,
叶县一套,http://live.dxhmt.cn:9081/tv/10422-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,220,200,成功,h264,1920x1080,25.0,有音频,5.673,11,198,6.956375397666648,3,27,
沈丘新闻综合,http://live.dxhmt.cn:9081/tv/11624-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,196,200,成功,h264,1920x1080,25.0,有音频,6.594,11,198,8.941111332333321,3,24,
灵璧综合频道,http://live.cms.anhuinews.com/video/s10003-lbtv/index.m3u8,,,,,,安徽,640x480,zbefine.txt,664,200,成功,h264,640x480,25.0,有音频,4.217,10,39,4.776522267,0,24,d5b1c90ff621c307
南部新闻综合,http://pili-live-rtmp.148.i2863.com/i2863-148/live_148_811389.m3u8,,,,,,四川,1280x720,zbefine.txt,970,200,成功,h264,1280x720,25.0,有音频,1.884,11,152,2.2916770699999724,0,3,c0e50db34db60bf4
开封新闻综合,http://live.dxhmt.cn:9081/tv/10200-2.m3u8,,,,,,河南,720x576,zbefine.txt,207,200,成功,h264,720x576,25.0,有音频,8.59,9,162,,3,18,
孟津新闻频道,http://live.dxhmt.cn:9081/tv/10322-2.m3u8,,,,,,河南,1920x1080,zbefine.txt,221,200,成功,h264,1920x1080,25.0,有音频,13.558,11,198,,3,27,
汾西综合,https://qmmqvzoz.live.sxmty.com/live/hls/f24f8a390c084386a564074c9260100c/be3fdf07606145739ab2c4b80fe0136a.m3u8,,,,,,山西,1920x1080,zbefine.txt,1408,200,成功,h264,1920x1080,25.0,有音频,8.245,11,198,5.186977302333332,0,1,c53870604f4f1bb7
永城新闻,http://live.dxhmt.cn:9081/tv/11481-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,814,200,成功,h264,1920x1080,25.0,有音频,6.434,11,198,,3,27,
清河经济综艺,https://jwcdnqx.hebyun.com.cn/live/qinghe1/1500k/tzwj_video.m3u8,,,,,,河北,1920x1080,zbefine.txt,811,200,成功,h264,1920x1080,25.0,有音频,3.589,11,87,4.244226544333344,0,3,ff030100f0f8fcfc
延津综合频道,http://live.dxhmt.cn:9081/tv/10726-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,220,200,成功,h264,1920x1080,25.0,有音频,9.197,11,198,,3,27,
万州最万州,http://123.146.162.24:8017/d4ceB1a/1000/live.m3u8,,,,,,重庆,720x576,zbefine.txt,224,200,成功,h264,720x576,25.0,有音频,1.368,11,0,1.589282950666681,0,33,fe00000000000000
安阳县新闻综合,http://live.dxhmt.cn:9081/tv/10522-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,221,200,成功,h264,1920x1080,25.0,有音频,9.182,11,177,,3,27,
营山电视台,http://file.ysxtv.cn/cms/videos/nmip-media/channellive/channel4/playlist.m3u8,,,,,,四川,1280x720,zbefine.txt,878,200,成功,h264,1280x720,,有音频,2.126,10,183,5.592523359333332,0,10,cb98c9b185c718cf
义马新闻综合,http://live.dxhmt.cn:9081/tv/11281-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,221,200,成功,h264,1920x1080,25.0,有音频,11.487,11,177,10.195390223800018,2,21,
新沂新闻频道,http://live.xysrmt.cn/xwzh/sd/live.m3u8,,,,,,江苏,1280x720,zbefine.txt,1278,200,成功,h264,1280x720,25.0,有音频,2.099,11,0,1.7505616063333491,0,33,8080808080820a82
武进生活频道,https://live.wjyanghu.com/live/CH2.m3u8,,,,,,江苏,720x576,zbefine.txt,862,200,成功,h264,720x576,25.0,有音频,4.335,11,169,7.580593084666664,0,2,8652513325ad6fe6
辽宁都市,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000068,,,,,,辽宁,720x576,zbefine.txt,717,200,成功,mpeg2video,720x576,25.0,有音频,6.023,5,84,8.110591287250003,3,15,
登封综合频道,http://live.dxhmt.cn:9081/tv/10185-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,779,200,成功,h264,1920x1080,25.0,有音频,6.081,11,191,9.51558829625003,1,24,
哈尔滨生活,http://stream.hrbtv.net/shpd/sd/live.m3u8,,,,,,黑龙江,640x480,zbefine.txt,232,200,成功,h264,640x480,25.0,有音频,12.317,10,180,6.068629185666623,0,3,
光山综合频道,http://live.dxhmt.cn:9081/tv/11522-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,205,200,成功,h264,1920x1080,25.0,有音频,10.173,11,177,,3,27,
新沂生活频道,http://live.xysrmt.cn/shpd/sd/live.m3u8,,,,,,江苏,1280x720,zbefine.txt,1075,200,成功,h264,1280x720,25.0,有音频,1.377,11,0,2.5657004416666496,0,33,8080808080820a82
黑水新闻综合,http://live.schstv.com:90/live/xwzh.m3u8,,,,,,四川,1920x1080,zbefine.txt,780,200,成功,h264,1920x1080,25.0,有音频,1.652,11,191,2.3738366309999983,0,2,e51492c8bca767b2
新乡县电视台,http://live.dxhmt.cn:9081/tv/10721-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,207,200,成功,h264,1920x1080,25.0,有音频,12.883,11,177,,3,24,
鹿邑新闻频道,http://live.dxhmt.cn:9081/tv/11628-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,223,200,成功,h264,1920x1080,25.0,有音频,14.537,11,198,,3,21,
农安新闻综合,http://stream2.jlntv.cn/naxw/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,1051,200,成功,h264,720x576,25.0,有音频,2.348,11,94,2.3483901423333386,0,6,ebcd92926d67882c
四平新闻综合,http://stream2.jlntv.cn/sptv/sd/live.m3u8,,,,,,吉林,1280x720,zbefine.txt,1109,200,成功,h264,1280x720,25.0,有音频,2.07,11,187,2.97605374633334,0,3,c0f39e9ca0213ff4
广安新闻综合,http://live1.gatv.com.cn:85/live/XWZH.m3u8,,,,,,四川,1920x1080,zbefine.txt,1286,200,成功,h264,1920x1080,25.0,有音频,2.078,10,139,3.137556511999984,0,15,
白城新闻综合,http://stream2.jlntv.cn/baicheng1/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,1087,200,成功,h264,720x576,25.0,有音频,1.928,11,82,2.3311383546666584,0,6,b38c8c330c9973fc
河源综合,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8,,,,,,广东,960x540,zbefine.txt,734,200,成功,h264,960x540,25.0,有音频,3.115,10,145,3.796458337333339,0,2,cbce363378392526
滑县新闻,http://live.dxhmt.cn:9081/tv/10526-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,221,200,成功,h264,1920x1080,25.0,有音频,9.061,10,183,12.392081042999962,3,21,
广安公共频道,http://live1.gatv.com.cn:85/live/GGPD_ggpdzm.m3u8,,,,,,四川,720x576,zbefine.txt,672,200,成功,h264,720x576,25.0,有音频,1.607,11,191,2.459481477000016,0,3,
新安新闻综合,http://live.dxhmt.cn:9081/tv/10323-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,221,200,成功,h264,1920x1080,25.0,有音频,8.318,10,176,9.998716169666674,3,24,
松原新闻综合,http://stream2.jlntv.cn/sytv/sd/live.m3u8,,,,,,吉林,1280x720,zbefine.txt,1102,200,成功,h264,1280x720,25.0,有音频,2.298,11,110,3.6160712766666543,0,12,9ac96530f1e7d238
西宁生活服务,https://liveout.xntv.tv/a65jur/90p2i1.m3u8,,,,,,青海,1920x1080,zbefine.txt,1178,200,成功,h264,1920x1080,25.0,有音频,5.854,11,177,8.726547800333341,0,3,886c629acecb38ed
项城新闻,http://live.dxhmt.cn:9081/tv/11681-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,205,200,成功,h264,1920x1080,25.0,有音频,6.586,11,198,,3,24,
禹州综合,http://live.dxhmt.cn:9081/tv/11081-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,198,200,成功,h264,1920x1080,25.0,有音频,14.156,11,198,,3,24,
璧山综合频道,http://222.179.42.129:8181/hls1.m3u8,,,,,,重庆,1920x1080,zbefine.txt,708,200,成功,h264,1920x1080,25.0,有音频,3.3,11,114,4.1508189639999955,0,3,b9fd071e344423e3
嵩县综合新闻,http://live.dxhmt.cn:9081/tv/10325-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,205,200,成功,h264,1920x1080,25.0,有音频,11.61,11,185,,3,21,
句容生活频道,http://jrlive.jrntv.com/live/_definst_/shenghuos/playlist.m3u8,,,,,,江苏,720x576,zbefine.txt,827,200,成功,h264,720x576,25.0,有音频,3.2,11,138,2.992574427333333,0,3,978ccf326969b511
太康综合,http://live.dxhmt.cn:9081/tv/11627-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,206,200,成功,h264,1920x1080,25.0,有音频,10.339,11,198,,3,24,
栾川新闻频道,http://live.dxhmt.cn:9081/tv/10324-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,221,200,成功,h264,1920x1080,25.0,有音频,10.116,11,177,,3,24,
菏泽经济生活,http://zb.hezegd.com:1935/live/hztv2/1000k/tzwj_video.m3u8,,,,,,山东,1280x720,zbefine.txt,1280,200,成功,h264,1280x720,25.0,有音频,1.487,11,110,2.2285024023333526,0,6,d894c0f7b504ed2d
灵宝新闻综合,http://live.dxhmt.cn:9081/tv/11282-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,200,200,成功,h264,1920x1080,25.0,有音频,9.814,11,198,,3,27,
万载综合频道,http://live-echotv.cdnvideo.ru/echotv/echotv.sdp/playlist.m3u8,,,,,,江西,1024x576,zbefine.txt,1913,200,成功,h264,1024x576,25.0,有音频,2.537,11,46,2.220712870000019,0,3,857308cf7470cb76
襄汾综合,http://7sycrzf7.live.sxmty.com/live/hls/da9222d15ce7491d85fe3519e5201df5/af161dfd2a434b22b3b75fdd72fb9038-1.m3u8,,,,,,山西,1920x1080,zbefine.txt,1285,200,成功,h264,1920x1080,25.0,有音频,9.929,11,193,4.995302530999993,0,2,cf25ba9d078d8e0c
巩义新闻综合,http://live.dxhmt.cn:9081/tv/10181-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,217,200,成功,h264,1920x1080,25.0,有音频,8.51,11,177,11.225759367500018,3,27,
西宁新闻综合,https://liveout.xntv.tv/a65jur/96iln2.m3u8,,,,,,青海,1920x1080,zbefine.txt,1358,200,成功,h264,1920x1080,25.0,有音频,8.885,11,177,8.363018345,0,3,
内乡综合,http://live.dxhmt.cn:9081/tv/11325-1.m3u8,,,,,,河南,720x576,zbefine.txt,205,200,成功,h264,720x576,25.0,有音频,14.334,11,198,10.584848318333266,3,27,
辽源新闻综合,http://stream2.jlntv.cn/liaoyuan1/sd/live.m3u8,,,,,,吉林,1280x720,zbefine.txt,1116,200,成功,h264,1280x720,25.0,有音频,3.835,11,148,3.7194203080000157,0,3,95b63f747287600e
菏泽新闻综合,http://zb.hezegd.com:1935/live/hztv1/1000k/tzwj_video.m3u8,,,,,,山东,1280x720,zbefine.txt,1294,200,成功,h264,1280x720,25.0,有音频,2.069,11,96,2.4625822516666553,0,6,9e61608f70e47aec
荆门新闻综合,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8,,,,,,湖北,1920x1080,zbefine.txt,840,200,成功,h264,1920x1080,25.0,有音频,1.615,11,123,2.24245581333336,0,3,88d5a3d7ccb95232
潼南综合频道,http://183.230.184.51:65500/tntv1.m3u8,,,,,,重庆,1920x1080,zbefine.txt,647,200,成功,h264,1920x1080,25.0,有音频,2.322,9,142,4.61497042033335,0,3,f0f0f0f0f00f0f0f
迁西综合频道,https://jwcdnqx.hebyun.com.cn/live/qxzhpd/1500k/tzwj_video.m3u8,,,,,,河北,1920x1080,zbefine.txt,296,200,成功,h264,1920x1080,25.0,有音频,3.183,11,84,3.943361286666667,0,6,c3f03c78c3873c1d
淮滨综合频道,http://live.dxhmt.cn:9081/tv/11527-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,207,200,成功,h264,1920x1080,25.0,有音频,9.625,11,198,,3,24,
番禺综合,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv,,,,,,广东,1920x1080,zbefine.txt,791,200,成功,h264,1920x1080,25.0,有音频,3.939,11,198,4.154155452666657,3,33,
林州综合,http://live.dxhmt.cn:9081/tv/10581-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,218,200,成功,h264,1920x1080,25.0,有音频,7.733,11,177,,3,27,
丰宁综合频道,https://jwcdnqx.hebyun.com.cn/live/fengningzonghe/1500k/tzwj_video.m3u8,,,,,,河北,1920x1080,zbefine.txt,337,200,成功,h264,1920x1080,30.0,有音频,3.426,10,90,4.5836760876666744,0,6,906478563aa9c7b7
开封公共频道,http://live.dxhmt.cn:9081/tv/10200-3.m3u8,,,,,,河南,720x576,zbefine.txt,197,200,成功,h264,720x576,25.0,有音频,16.021,10,152,,3,24,
荆门教育频道,http://stream.jmtv.com.cn/ggsh/sd/live.m3u8,,,,,,湖北,1920x1080,zbefine.txt,208,200,成功,h264,1920x1080,25.0,有音频,2.384,11,101,3.238327943999991,0,3,9cc3c33c41ba3ae5
卢氏综合频道,http://live.dxhmt.cn:9081/tv/11224-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,204,200,成功,h264,1920x1080,25.0,有音频,9.757,11,191,13.081073708000076,3,27,
兰考新闻频道,http://live.dxhmt.cn:9081/tv/10225-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,207,200,成功,h264,1920x1080,25.0,有音频,5.804,10,183,14.46748051049994,3,21,
句容影视频道,http://jrlive.jrntv.com/live/_definst_/yingshis/playlist.m3u8,,,,,,江苏,720x576,zbefine.txt,553,200,成功,h264,720x576,25.0,有音频,8.09,11,0,3.568985449666665,0,33,cadf514a505f447a
句容新闻综合,http://jrlive.jrntv.com/live/_definst_/jrxwzhs/playlist.m3u8,,,,,,江苏,720x576,zbefine.txt,1042,200,成功,h264,720x576,25.0,有音频,7.645,11,153,3.429822040333344,0,3,89ccb3459ae866b6
富裕综合,http://221.209.44.174:1980/hls/1001.m3u8,,,,,,黑龙江,1920x1080,zbefine.txt,466,200,成功,h264,1920x1080,29.97002997002997,有音频,1.74,11,136,2.1586087656665995,0,3,f0cd17926f635864
荆门公共频道,http://stream.jmtv.com.cn/ngpd/sd/live.m3u8,,,,,,湖北,1920x1080,zbefine.txt,208,200,成功,h264,1920x1080,25.0,有音频,3.146,11,0,3.216906523333364,0,33,8282202020202082
宜阳综合频道,http://live.dxhmt.cn:9081/tv/10327-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,200,200,成功,h264,1920x1080,25.0,有音频,9.107,11,198,10.956129448000013,3,24,
西华综合频道,http://live.dxhmt.cn:9081/tv/11622-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,206,200,成功,h264,1920x1080,25.0,有音频,10.165,11,198,,3,24,
潢川综合频道,http://live.dxhmt.cn:9081/tv/11526-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,200,200,成功,h264,1920x1080,25.0,有音频,8.381,10,162,,3,27,
句容党建频道,http://jrlive.jrntv.com/live/_definst_/dangjians/playlist.m3u8,,,,,,江苏,720x576,zbefine.txt,506,200,成功,h264,720x576,25.0,有音频,6.474,11,99,4.686232225666686,0,9,cadf514a505f447a
长白山电视台,http://stream8.jlntv.cn/cbstv/sd/live.m3u8,,,,,,吉林,320x240,zbefine.txt,1619,200,成功,h264,320x240,25.0,有音频,2.024,11,0,2.212665566333328,0,33,ad52ad52ad52ad52
偃师新闻频道,http://live.dxhmt.cn:9081/tv/10381-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,208,200,成功,h264,1920x1080,25.0,有音频,14.621,10,174,,3,27,
平舆综合,http://live.dxhmt.cn:9081/tv/11723-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,1492,200,成功,h264,1920x1080,25.0,有音频,8.447,11,177,,3,24,
江津新闻综合,http://222.179.155.21:1935/ch1.m3u8,,,,,,重庆,1920x1080,zbefine.txt,466,200,成功,h264,1920x1080,25.0,有音频,3.379,11,179,5.945469018599999,1,15,
黎城综合频道,http://111.53.96.67:8081/live/1/index.m3u8,,,,,,山西,1920x1080,zbefine.txt,349,200,成功,h264,1920x1080,25.0,有音频,1.633,11,0,1.9281618336666877,0,33,92da6d35cbcc922a
元宝山综合,http://l2yx82zv.live2.danghongyun.com/live/hls/8be0890a1b0c4d7aaf80b51ea8646682/5a8988f5ecc64986a19aa9b6b3a052a6-1.m3u8,,,,,,内蒙古,1920x1080,zbefine.txt,1779,200,成功,h264,1920x1080,30.0,有音频,2.693,11,111,2.9620262200000034,0,6,de01000170fefefe
杞县新闻综合,http://live.dxhmt.cn:9081/tv/10221-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,205,200,成功,h264,1920x1080,25.0,有音频,7.861,11,198,14.832547337999983,3,30,
靖宇综合频道,http://stream8.jlntv.cn/jytv/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,834,200,成功,h264,720x576,25.0,有音频,1.791,10,91,2.7637141333333375,0,3,fc6c27f4923f6021
松原公共频道,http://stream8.jlntv.cn/sytv2/sd/live.m3u8,,,,,,吉林,1280x720,zbefine.txt,1626,200,成功,h264,1280x720,25.0,有音频,3.536,11,130,3.6275709113333505,0,10,9ac96530f1e7d238
敦化一套,http://stream8.jlntv.cn/dhtv/playlist.m3u8,,,,,,吉林,720x576,zbefine.txt,559,200,成功,h264,720x576,25.0,有音频,2.603,11,0,3.040873986333319,0,33,d400000000000000
泸州新闻综合,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel106011/playlist.m3u8,,,,,,四川,1280x720,zbefine.txt,874,200,成功,h264,1280x720,,有音频,1.605,11,177,1.9483626120000206,0,3,ede4923a6dc7a80c
宝丰综合频道,http://live.dxhmt.cn:9081/tv/10421-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,199,200,成功,h264,1920x1080,25.0,有音频,8.265,10,195,9.959914853600003,2,18,
确山综合,http://live.dxhmt.cn:9081/tv/11725-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,1485,200,成功,h264,1920x1080,25.0,有音频,12.103,11,198,10.111698712799967,2,21,
唐河一套,http://live.dxhmt.cn:9081/tv/11328-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,205,200,成功,h264,1920x1080,25.0,有音频,12.928,11,191,9.225031240333351,0,21,
汤阴综合,http://live.dxhmt.cn:9081/tv/10523-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,199,200,成功,h264,1920x1080,25.0,有音频,8.68,11,191,,3,27,
永吉综合频道,http://stream10.jlntv.cn/yongji/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,293,200,成功,h264,720x576,25.0,有音频,2.272,11,162,3.01209731933335,0,2,b0598b0d67f26c0f
泸州公共频道,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel102221/playlist.m3u8,,,,,,四川,1280x720,zbefine.txt,202,200,成功,h264,1280x720,,有音频,1.21,11,132,1.4800997093333308,0,22,cc96696996969669
祁县新闻综合,http://ggpagerl.live.sxmty.com/live/hls/b350dc1ac5da45c2b2233f6eb122ddf4/49d3766c7f204685a2a8f027b234c33d.m3u8,,,,,,山西,640x360,zbefine.txt,2199,200,成功,h264,640x360,30.0,有音频,7.268,10,168,7.578416220000027,0,1,de69389a01516f4f
