频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率.1,帧率,音频,ffprobe探测时间,当前动态级,历史动态级,phash重复指数,主phash值,phash唯一指数,phash有效样本数,主phash时间跨度(天),源动态分类
东丰综合,http://stream5.jlntv.cn/df/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,315,200,成功,h264,720x576,25.0,有音频,2.493,2.0,2.0,8.0,986b58352d9a563d,35.0,57,0.0,动态源
双滦新闻频道,https://jwcdnqx.hebyun.com.cn/live/slxw/1500k/tzwj_video.m3u8,,,,,,河北,1920x1080,zbefine.txt,1566,200,成功,h264,1920x1080,25.0,有音频,6.616,2.0,0.0,1.0,dab0a5c64f5e4cc2,4.0,6,0.0,动态源
汾西综合,https://qmmqvzoz.live.sxmty.com/live/hls/f24f8a390c084386a564074c9260100c/be3fdf07606145739ab2c4b80fe0136a.m3u8,,,,,,山西,1920x1080,zbefine.txt,4216,200,成功,h264,1920x1080,25.0,有音频,7.313,1.0,0.0,0.0,b9ccc42f369934c3,54.0,54,0.0,动态源
武陟新闻综合,http://live.dxhmt.cn:9081/tv/10823-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,522,200,成功,h264,1920x1080,25.0,有音频,8.198,5.0,8.0,7.0,0000000000000000,7.0,15,0.0,待观察
辽源新闻综合,http://stream2.jlntv.cn/liaoyuan1/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,305,200,成功,h264,720x576,25.0,有音频,2.44,1.0,1.0,4.0,ded8072f382b3925,37.0,57,0.0,动态源
宝丰综合频道,http://live.dxhmt.cn:9081/tv/10421-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,282,200,成功,h264,1920x1080,25.0,有音频,8.862,5.0,7.0,0.0,dffa200537984f61,15.0,15,0.0,待观察
淮滨综合频道,http://live.dxhmt.cn:9081/tv/11527-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,271,200,成功,h264,1920x1080,25.0,有音频,8.89,5.0,7.0,0.0,c3ef3f3c64833c80,15.0,15,0.0,待观察
东辽综合,http://stream5.jlntv.cn/dl/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,599,200,成功,h264,720x576,25.0,有音频,2.237,1.0,0.0,2.0,d06866b6369b3b1c,41.0,57,0.0,动态源
长垣综合频道,http://live.dxhmt.cn:9081/tv/10728-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,281,200,成功,h264,1920x1080,25.0,有音频,7.112,5.0,8.0,2.0,982778a572cd339c,10.0,12,0.0,待观察
武进新闻频道,https://live.wjyanghu.com/live/CH1.m3u8,,,,,,江苏,720x576,zbefine.txt,4351,200,成功,h264,720x576,25.0,有音频,5.247,1.0,2.0,7.0,ede4923a6dc7a80c,36.0,54,0.0,动态源
邓州新闻,http://live.dxhmt.cn:9081/tv/11381-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,280,200,成功,h264,1920x1080,25.0,有音频,10.252,5.0,7.0,0.0,d80964b3cd1f2787,15.0,15,0.0,待观察
义马新闻综合,http://live.dxhmt.cn:9081/tv/11281-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,250,200,成功,h264,1920x1080,25.0,有音频,10.451,5.0,8.0,7.0,f8f8f8f8f8010707,10.0,18,0.0,待观察
郏县综合频道,http://live.dxhmt.cn:9081/tv/10425-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,249,200,成功,h264,1920x1080,25.0,有音频,6.57,5.0,9.0,7.0,be61e19e91c7c11c,4.0,12,0.0,待观察
浚县一套,http://live.dxhmt.cn:9081/tv/10621-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,1730,200,成功,h264,1920x1080,25.0,有音频,8.008,5.0,8.0,2.0,d0adad50cdbb10cd,7.0,9,0.0,待观察
汝阳综合频道,http://live.dxhmt.cn:9081/tv/10326-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,250,200,成功,h264,1920x1080,25.0,有音频,10.056,5.0,8.0,0.0,fcc40d7d11b94393,9.0,9,0.0,待观察
武进生活频道,https://live.wjyanghu.com/live/CH2.m3u8,,,,,,江苏,720x576,zbefine.txt,3753,200,成功,h264,720x576,25.0,有音频,5.513,2.0,0.0,1.0,98ec66bb39cc1193,46.0,54,0.0,动态源
永城新闻,http://live.dxhmt.cn:9081/tv/11481-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,281,200,成功,h264,1920x1080,25.0,有音频,6.864,5.0,8.0,0.0,cf08f0b64e854f27,9.0,9,0.0,待观察
西宁新闻综合,https://liveout.xntv.tv/a65jur/96iln2.m3u8,,,,,,青海,1920x1080,zbefine.txt,3780,200,成功,h264,1920x1080,25.0,有音频,5.458,1.0,2.0,7.0,886c629acecb38ed,40.0,48,0.0,动态源
嵩县综合新闻,http://live.dxhmt.cn:9081/tv/10325-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,282,200,成功,h264,1920x1080,25.0,有音频,5.688,5.0,7.0,5.0,94d02d3c6b4d3e4d,8.0,15,0.0,待观察
台前新闻综合,http://live.dxhmt.cn:9081/tv/10927-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,281,200,成功,h264,1920x1080,25.0,有音频,8.496,5.0,8.0,4.0,cccc3333cccc3333,6.0,12,0.0,待观察
临颍综合频道,http://live.dxhmt.cn:9081/tv/11122-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,281,200,成功,h264,1920x1080,25.0,有音频,12.834,5.0,9.0,0.0,9e67c0b08f97b11a,3.0,3,0.0,待观察
松原新闻综合,http://stream2.jlntv.cn/sytv/sd/live.m3u8,,,,,,吉林,1280x720,zbefine.txt,306,200,成功,h264,1280x720,25.0,有音频,2.311,2.0,1.0,8.0,9ac96530f1e7d238,14.0,57,0.0,动态源
安阳县新闻综合,http://live.dxhmt.cn:9081/tv/10522-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,280,200,成功,h264,1920x1080,25.0,有音频,11.077,5.0,9.0,5.0,0000000000000000,4.0,9,0.0,待观察
潼南综合频道,http://183.230.184.51:65500/tntv1.m3u8,,,,,,重庆,1920x1080,zbefine.txt,836,200,成功,h264,1920x1080,25.0,有音频,2.839,1.0,2.0,7.0,f0f0f0f0f00f0f0f,39.0,48,0.0,动态源
固始综合频道,http://live.dxhmt.cn:9081/tv/11525-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,1026,200,成功,h264,1920x1080,25.0,有音频,13.336,5.0,9.0,5.0,f4c9965825e7823d,4.0,9,0.0,待观察
富裕综合,http://221.209.44.174:1980/hls/1001.m3u8,,,,,,黑龙江,1920x1080,zbefine.txt,569,200,成功,h264,1920x1080,29.97002997002997,有音频,2.332,2.0,1.0,7.0,f0cd17926f635864,37.0,57,0.0,动态源
方城一套,http://live.dxhmt.cn:9081/tv/11322-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,281,200,成功,h264,1920x1080,25.0,有音频,5.688,5.0,8.0,5.0,ac6c1432eb6736cc,10.0,15,0.0,待观察
唐河一套,http://live.dxhmt.cn:9081/tv/11328-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,280,200,成功,h264,1920x1080,25.0,有音频,4.405,5.0,7.0,4.0,85d5e0483af79d43,11.0,15,0.0,待观察
双辽综合,http://stream5.jlntv.cn/sl/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,295,200,成功,h264,720x576,25.0,有音频,2.542,1.0,1.0,6.0,b4e08f4b6953d968,38.0,57,0.0,动态源
舞阳新闻综合,http://live.dxhmt.cn:9081/tv/11121-1.m3u8,,,,,,河南,720x576,zbefine.txt,251,200,成功,h264,720x576,25.0,有音频,8.485,5.0,9.0,2.0,a178d263299ed639,5.0,9,0.0,待观察
白城新闻综合,http://stream2.jlntv.cn/baicheng1/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,342,200,成功,h264,720x576,25.0,有音频,2.02,2.0,3.0,8.0,b38c8c330c9973fc,29.0,57,0.0,动态源
清苑新闻频道,https://jwcdnqx.hebyun.com.cn/live/qyxwpd/1500k/tzwj_video.m3u8,,,,,,河北,1920x1080,zbefine.txt,818,200,成功,h264,1920x1080,25.0,有音频,4.619,2.0,3.0,2.0,d400000000000000,5.0,9,0.0,动态源
封丘新闻综合,http://live.dxhmt.cn:9081/tv/10727-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,249,200,成功,h264,1920x1080,25.0,有音频,4.852,5.0,7.0,0.0,a8b96c13a42d732f,12.0,12,0.0,待观察
涉县新闻综合,https://jwcdnqx.hebyun.com.cn/live/SXTV1/1500k/tzwj_video.m3u8,,,,,,河北,1920x1080,zbefine.txt,334,200,成功,h264,1920x1080,25.0,有音频,4.087,6.0,4.0,7.0,fea929a900d656d6,30.0,57,0.0,动态源
滑县新闻,http://live.dxhmt.cn:9081/tv/10526-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,249,200,成功,h264,1920x1080,25.0,有音频,10.049,5.0,7.0,0.0,851b7a5c6e945393,12.0,12,0.0,待观察
菏泽新闻综合,http://zb.hezegd.com:1935/live/hztv1/1000k/tzwj_video.m3u8,,,,,,山东,1280x720,zbefine.txt,748,200,成功,h264,1280x720,25.0,有音频,1.908,2.0,2.0,5.0,9e61608f70e47aec,32.0,57,0.0,动态源
壶关电视台,http://zmjp3jin.live.sxmty.com/live/hls/268fe96f955d496db37fb10bb887cda9/fc196029d289449ea524a94a95379a0d.m3u8,,,,,,山西,1920x1080,zbefine.txt,5671,200,成功,h264,1920x1080,25.0,有音频,8.994,1.0,1.0,2.0,9ca9295262739e7c,47.0,54,0.0,动态源
菏泽经济生活,http://zb.hezegd.com:1935/live/hztv2/1000k/tzwj_video.m3u8,,,,,,山东,1280x720,zbefine.txt,651,200,成功,h264,1280x720,25.0,有音频,2.172,2.0,3.0,5.0,d894c0f7b504ed2d,32.0,57,0.0,动态源
潢川综合频道,http://live.dxhmt.cn:9081/tv/11526-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,1090,200,成功,h264,1920x1080,25.0,有音频,4.999,5.0,9.0,5.0,c92c36d3c92c36d3,1.0,6,0.0,待观察
前郭综合频道,http://stream2.jlntv.cn/qg/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,316,200,成功,h264,720x576,25.0,有音频,2.549,2.0,2.0,7.0,ccf8f8f86c070707,34.0,57,0.0,动态源
光山综合频道,http://live.dxhmt.cn:9081/tv/11522-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,281,200,成功,h264,1920x1080,25.0,有音频,7.29,5.0,9.0,5.0,fe000101031fffff,4.0,9,0.0,待观察
松原公共频道,http://stream8.jlntv.cn/sytv2/sd/live.m3u8,,,,,,吉林,1280x720,zbefine.txt,1178,200,成功,h264,1280x720,25.0,有音频,2.344,2.0,1.0,8.0,9ac96530f1e7d238,27.0,57,0.0,动态源
泌阳新闻综合,http://live.dxhmt.cn:9081/tv/11726-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,251,200,成功,h264,1920x1080,25.0,有音频,6.491,5.0,8.0,0.0,9cd063296b8f231f,9.0,9,0.0,待观察
鲁山综合频道,http://live.dxhmt.cn:9081/tv/10423-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,248,200,成功,h264,1920x1080,25.0,有音频,6.293,5.0,8.0,2.0,86c8307b87cd8d37,8.0,12,0.0,待观察
句容党建频道,http://jrlive.jrntv.com/live/_definst_/dangjians/playlist.m3u8,,,,,,江苏,720x576,zbefine.txt,1734,200,成功,h264,720x576,25.0,有音频,4.296,6.0,3.0,8.0,cadf514a505f447a,27.0,54,0.0,动态源
新安新闻综合,http://live.dxhmt.cn:9081/tv/10323-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,280,200,成功,h264,1920x1080,25.0,有音频,7.889,5.0,8.0,5.0,de070703e0f8f8f8,5.0,12,0.0,待观察
辉南新闻综合,http://stream5.jlntv.cn/hn/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,326,200,成功,h264,720x576,25.0,有音频,2.51,2.0,0.0,2.0,abcd7426013b6a9d,40.0,57,0.0,动态源
句容新闻综合,http://jrlive.jrntv.com/live/_definst_/jrxwzhs/playlist.m3u8,,,,,,江苏,720x576,zbefine.txt,3124,200,成功,h264,720x576,25.0,有音频,4.241,1.0,1.0,2.0,e0c27f83018bfce9,43.0,57,0.0,动态源
句容生活频道,http://jrlive.jrntv.com/live/_definst_/shenghuos/playlist.m3u8,,,,,,江苏,720x576,zbefine.txt,2869,200,成功,h264,720x576,25.0,有音频,3.26,2.0,1.0,4.0,e0c27f831183fce9,35.0,54,0.0,动态源
元宝山综合,http://l2yx82zv.live2.danghongyun.com/live/hls/8be0890a1b0c4d7aaf80b51ea8646682/5a8988f5ecc64986a19aa9b6b3a052a6-1.m3u8,,,,,,内蒙古,1920x1080,zbefine.txt,1094,200,成功,h264,1920x1080,30.0,有音频,2.484,2.0,2.0,8.0,de01000170fefefe,29.0,51,0.0,动态源
番禺综合,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv,,,,,,广东,1920x1080,zbefine.txt,1661,200,成功,h264,1920x1080,25.0,有音频,1.766,5.0,9.0,,,0.0,0,0.0,待观察
武乡新闻综合,http://uzoiczhh.live.sxmty.com/live/hls/0d41f1480c4042d49927858f01fde707/53130407737b417b9a6259b57246bae3.m3u8,,,,,,山西,1280x720,zbefine.txt,6950,200,成功,h264,1280x720,30.0,有音频,6.857,1.0,2.0,8.0,b5b5b57a4a4a4a4a,43.0,54,0.0,动态源
集安综合频道,http://stream2.jlntv.cn/ja/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,306,200,成功,h264,720x576,25.0,有音频,2.311,6.0,2.0,8.0,8000000000000000,31.0,54,0.0,动态源
铜梁综合,http://183.64.174.171:40123/ch1.m3u8,,,,,,重庆,720x576,zbefine.txt,884,200,成功,h264,720x576,25.0,有音频,2.84,1.0,0.0,1.0,c3f234f0c2b5e3c2,53.0,54,0.0,动态源
平舆综合,http://live.dxhmt.cn:9081/tv/11723-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,250,200,成功,h264,1920x1080,25.0,有音频,6.199,5.0,8.0,2.0,c3dc03bec523fc41,8.0,12,0.0,待观察
获嘉综合频道,http://live.dxhmt.cn:9081/tv/10724-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,250,200,成功,h264,1920x1080,25.0,有音频,7.259,5.0,7.0,5.0,c1e03e9e6a6b3b30,8.0,15,0.0,待观察
柳河综合,http://stream5.jlntv.cn/lh/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,349,200,成功,h264,720x576,25.0,有音频,3.063,2.0,4.0,8.0,dc03030307fcfcfc,27.0,57,0.0,动态源
林州综合,http://live.dxhmt.cn:9081/tv/10581-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,249,200,成功,h264,1920x1080,25.0,有音频,7.893,5.0,9.0,7.0,d603030307fcfcfc,4.0,12,0.0,待观察
偃师新闻频道,http://live.dxhmt.cn:9081/tv/10381-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,282,200,成功,h264,1920x1080,25.0,有音频,9.348,6.0,9.0,5.0,ff03030303f8f8fc,1.0,6,0.0,待观察
德惠综合,http://stream11.jlntv.cn/dehuitv/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,1150,200,成功,h264,720x576,25.0,有音频,2.564,1.0,2.0,8.0,ebcd92326d67a80c,33.0,57,0.0,动态源
西宁生活服务,https://liveout.xntv.tv/a65jur/90p2i1.m3u8,,,,,,青海,1920x1080,zbefine.txt,4452,200,成功,h264,1920x1080,25.0,有音频,7.242,1.0,2.0,7.0,886c629acecb38ed,43.0,51,0.0,动态源
新野综合,http://live.dxhmt.cn:9081/tv/11329-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,281,200,成功,h264,1920x1080,25.0,有音频,3.81,5.0,8.0,5.0,0000000000000000,7.0,12,0.0,待观察
永清综合频道,http://60.10.203.69:8000/0.m3u8,,,,,,河北,1920x1080,zbefine.txt,886,200,成功,h264,1920x1080,25.0,有音频,2.884,5.0,2.0,2.0,c4946f909b999ba9,35.0,54,0.0,动态源
农安新闻综合,http://stream2.jlntv.cn/naxw/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,326,200,成功,h264,720x576,25.0,有音频,2.325,2.0,2.0,7.0,ebcd92926d67882c,36.0,57,0.0,动态源
淅川综合,http://live.dxhmt.cn:9081/tv/11326-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,271,200,成功,h264,1920x1080,25.0,有音频,14.673,5.0,8.0,0.0,b166cf38e4931077,9.0,9,0.0,待观察
襄汾综合,http://7sycrzf7.live.sxmty.com/live/hls/da9222d15ce7491d85fe3519e5201df5/af161dfd2a434b22b3b75fdd72fb9038-1.m3u8,,,,,,山西,1920x1080,zbefine.txt,5913,200,成功,h264,1920x1080,25.0,有音频,5.883,1.0,1.0,2.0,b47e43955e8b21d4,49.0,54,0.0,动态源
内乡综合,http://live.dxhmt.cn:9081/tv/11325-1.m3u8,,,,,,河南,720x576,zbefine.txt,280,200,成功,h264,720x576,25.0,有音频,8.573,5.0,7.0,0.0,d1f2f4c4870d0edc,12.0,12,0.0,待观察
临夏市电视台,http://124.152.34.102:8030/wCMq71/wCMq71_0.m3u8,,,,,,甘肃,1920x1080,zbefine.txt,855,200,成功,h264,1920x1080,25.0,有音频,5.198,1.0,4.0,8.0,ff00000000000000,23.0,39,0.0,动态源
武乡新闻综合,http://60.220.198.84:81/0.m3u8,,,,,,山西,1280x720,zbefine.txt,958,200,成功,h264,1280x720,30.0,有音频,2.746,2.0,4.0,8.0,b5b5b57a4a4a4a4a,32.0,57,0.0,动态源
汤阴综合,http://live.dxhmt.cn:9081/tv/10523-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,891,200,成功,h264,1920x1080,25.0,有音频,8.313,5.0,8.0,1.0,ce2791689f96609e,8.0,9,0.0,待观察
温县综合,http://live.dxhmt.cn:9081/tv/10825-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,887,200,成功,h264,1920x1080,25.0,有音频,8.786,5.0,9.0,5.0,f0cd929c2d6ac563,4.0,9,0.0,待观察
宜阳综合频道,http://live.dxhmt.cn:9081/tv/10327-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,894,200,成功,h264,1920x1080,25.0,有音频,9.347,5.0,7.0,0.0,95db84d91a9ccf81,15.0,15,0.0,待观察
九台综合,http://stream10.jlntv.cn/jiutaitv/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,1237,200,成功,h264,720x576,25.0,有音频,2.407,1.0,0.0,1.0,e5941ba384496dbd,40.0,57,0.0,动态源
双阳综合,http://stream11.jlntv.cn/shuangyang/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,347,200,成功,h264,720x576,25.0,有音频,2.07,1.0,1.0,2.0,a9d2562da383ad53,40.0,57,0.0,动态源
确山综合,http://live.dxhmt.cn:9081/tv/11725-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,249,200,成功,h264,1920x1080,25.0,有音频,8.087,5.0,7.0,0.0,c0ce6d181aed4fa5,15.0,15,0.0,待观察
哈尔滨生活,http://stream.hrbtv.net/shpd/sd/live.m3u8,,,,,,黑龙江,640x480,zbefine.txt,2248,200,成功,h264,640x480,25.0,有音频,4.405,1.0,0.0,1.0,8ef070cecc3147ce,48.0,51,0.0,动态源
哈尔滨影视,http://stream.hrbtv.net/yspd/sd/live.m3u8,,,,,,黑龙江,640x480,zbefine.txt,2880,200,成功,h264,640x480,25.0,有音频,3.65,5.0,1.0,1.0,c4ec2921898bb79f,31.0,39,0.0,动态源
淇县电视台,http://live.dxhmt.cn:9081/tv/10622-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,894,200,成功,h264,1920x1080,25.0,有音频,8.711,5.0,8.0,2.0,cfc32e6307b44a4d,7.0,9,0.0,待观察
江源综合频道,http://stream10.jlntv.cn/jiangyuantv/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,393,200,成功,h264,720x576,25.0,有音频,2.293,2.0,2.0,8.0,8d8977661e1d7870,32.0,57,0.0,动态源
卫辉综合频道,http://live.dxhmt.cn:9081/tv/10781-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,250,200,成功,h264,1920x1080,25.0,有音频,7.807,5.0,7.0,4.0,ff0303030347fcfc,8.0,12,0.0,待观察
靖宇综合频道,http://stream8.jlntv.cn/jytv/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,363,200,成功,h264,720x576,25.0,有音频,2.119,1.0,3.0,7.0,ff810103075f5e5e,32.0,54,0.0,动态源
舞钢新闻综合,http://live.dxhmt.cn:9081/tv/10481-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,280,200,成功,h264,1920x1080,25.0,有音频,5.956,5.0,7.0,0.0,f0f2c5079fb03127,12.0,12,0.0,待观察
荣昌综合频道,http://183.64.181.25:40023/rongchang01.m3u8,,,,,,重庆,720x404,zbefine.txt,853,200,成功,h264,720x404,25.0,有音频,2.423,1.0,0.0,4.0,98387275d98d862f,44.0,51,0.0,动态源
固镇新闻频道,http://www.guzhenm.com:7001/hls/hd-live.m3u8,,,,,,安徽,1920x1080,zbefine.txt,987,200,成功,h264,1920x1080,25.0,有音频,4.225,1.0,2.0,0.0,c74b789c0a377385,42.0,42,0.0,动态源
靖江新闻综合,http://visit.jjbctv.com:1935/live/xwzhmb/playlist.m3u8,,,,,,江苏,1280x720,zbefine.txt,1942,200,成功,h264,1280x720,25.0,有音频,4.625,1.0,2.0,1.0,e0c87f8b208bfe68,39.0,42,0.0,动态源
登封综合频道,http://live.dxhmt.cn:9081/tv/10185-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,280,200,成功,h264,1920x1080,25.0,有音频,8.555,5.0,7.0,5.0,fe430153017eb0fe,8.0,15,0.0,待观察
禹州综合,http://live.dxhmt.cn:9081/tv/11081-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,272,200,成功,h264,1920x1080,25.0,有音频,7.751,5.0,7.0,0.0,8d8973e01de54e2d,12.0,12,0.0,待观察
新县综合频道,http://live.dxhmt.cn:9081/tv/11523-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,271,200,成功,h264,1920x1080,25.0,有音频,8.326,5.0,7.0,0.0,d0f8f0f0f0f0f0f0,12.0,12,0.0,待观察
孟州综合,http://live.dxhmt.cn:9081/tv/10883-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,928,200,成功,h264,1920x1080,25.0,有音频,12.875,5.0,8.0,1.0,c0ce6d183aed4f85,8.0,9,0.0,待观察
沁阳新闻综合,http://live.dxhmt.cn:9081/tv/10882-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,946,200,成功,h264,1920x1080,25.0,有音频,12.764,5.0,7.0,0.0,c65878f3793c9449,12.0,12,0.0,待观察
镇平新闻综合,http://live.dxhmt.cn:9081/tv/11324-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,280,200,成功,h264,1920x1080,25.0,有音频,6.439,5.0,9.0,7.0,d4fe7f7f90802901,4.0,12,0.0,待观察
新乡县电视台,http://live.dxhmt.cn:9081/tv/10721-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,281,200,成功,h264,1920x1080,25.0,有音频,7.028,5.0,8.0,7.0,ff010303033efcfc,7.0,15,0.0,待观察
上蔡综合,http://live.dxhmt.cn:9081/tv/11722-1.m3u8,,,,,,河南,1920x1080,zbefine.txt,280,200,成功,h264,1920x1080,25.0,有音频,4.735,5.0,9.0,5.0,d01f1fdf30f0e0e0,4.0,9,0.0,待观察
清河经济综艺,https://jwcdnqx.hebyun.com.cn/live/qinghe1/1500k/tzwj_video.m3u8,,,,,,河北,1920x1080,zbefine.txt,839,200,成功,h264,1920x1080,25.0,有音频,4.839,5.0,3.0,5.0,ff030100f0f8fcfc,32.0,54,0.0,动态源
宿州新闻综合,http://live.ahsz.tv/video/s10001-szzh/index.m3u8,,,,,,安徽,1920x1080,zbefine.txt,1108,200,成功,h264,1920x1080,25.0,有音频,2.261,1.0,0.0,1.0,e0f44a7dcf3ca103,44.0,48,0.0,动态源
昌黎综合频道,https://jwcdnqx.hebyun.com.cn/live/clzhpd/1500k/tzwj_video.m3u8,,,,,,河北,1280x720,zbefine.txt,352,200,成功,h264,1280x720,30.0,有音频,4.702,2.0,2.0,2.0,8db97a46543e27a4,34.0,57,0.0,动态源
